id,response_time,condition
1,21.00441006060185,control
2,18.617513802670885,control
3,18.98711950956122,control
4,22.079775155318043,control
5,18.30956518038619,control
6,20.864021486558034,control
7,21.94616843434569,control
8,18.237862990864706,control
9,19.453162259296455,control
10,16.78253854838883,control
1,34.008165502691874,incongruent
2,38.60378268520962,incongruent
3,32.24602371596522,incongruent
4,36.981771637545876,incongruent
5,31.29645299811778,incongruent
6,34.91982459009348,incongruent
7,38.15639648700662,incongruent
8,35.32676836913431,incongruent
9,37.085805287589146,incongruent
10,37.10234132572367,incongruent
